A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V
97.49,0.183,0.319,0.303,0.282,0.363,0.308,0.249,0.314,0.656,0.344,0.104,0.166,0.183,0.183,0.136,0.134,0.137,0.138,0.13,0.105,Govardhan
97.37,0.182,0.319,0.303,0.278,0.359,0.304,0.251,0.309,0.625,0.319,0.103,0.166,0.184,0.182,0.134,0.133,0.137,0.138,0.132,0.106,Govardhan
97.38,0.182,0.322,0.305,0.283,0.361,0.305,0.253,0.315,0.633,0.322,0.107,0.166,0.183,0.182,0.135,0.134,0.138,0.141,0.132,0.106,Govardhan
97.45,0.185,0.323,0.307,0.281,0.367,0.308,0.252,0.321,0.658,0.338,0.108,0.167,0.182,0.185,0.137,0.134,0.138,0.14,0.132,0.106,Govardhan
97.26,0.187,0.319,0.302,0.274,0.359,0.304,0.246,0.318,0.648,0.331,0.103,0.168,0.185,0.187,0.134,0.133,0.135,0.137,0.13,0.105,Govardhan
97.33,0.183,0.32,0.305,0.279,0.359,0.305,0.249,0.312,0.653,0.344,0.104,0.165,0.181,0.183,0.134,0.134,0.135,0.137,0.13,0.106,Govardhan
97.39,0.183,0.318,0.302,0.269,0.358,0.303,0.253,0.312,0.631,0.319,0.101,0.166,0.183,0.183,0.135,0.133,0.135,0.138,0.131,0.106,Govardhan
97.6,0.186,0.323,0.305,0.272,0.361,0.305,0.254,0.312,0.626,0.315,0.1,0.169,0.184,0.186,0.136,0.134,0.137,0.14,0.132,0.107,Govardhan
97.56,0.188,0.323,0.307,0.277,0.363,0.306,0.253,0.318,0.649,0.33,0.103,0.17,0.186,0.188,0.135,0.135,0.137,0.14,0.131,0.107,Govardhan
97.6,0.194,0.328,0.31,0.278,0.371,0.314,0.256,0.324,0.679,0.356,0.109,0.173,0.189,0.194,0.138,0.137,0.138,0.142,0.135,0.109,Govardhan
97.46,0.188,0.32,0.302,0.275,0.363,0.308,0.257,0.315,0.649,0.336,0.104,0.167,0.184,0.188,0.136,0.135,0.137,0.14,0.132,0.107,Govardhan
97.6,0.189,0.324,0.307,0.275,0.367,0.31,0.261,0.323,0.654,0.332,0.106,0.17,0.187,0.189,0.137,0.136,0.137,0.141,0.134,0.108,Govardhan
97.55,0.19,0.327,0.308,0.273,0.369,0.313,0.257,0.319,0.659,0.342,0.105,0.171,0.186,0.19,0.138,0.137,0.137,0.142,0.135,0.11,Govardhan
97.38,0.188,0.323,0.306,0.274,0.367,0.308,0.254,0.318,0.648,0.335,0.103,0.167,0.183,0.188,0.135,0.135,0.137,0.14,0.132,0.107,Govardhan
97.2,0.188,0.32,0.303,0.272,0.364,0.308,0.253,0.32,0.653,0.335,0.102,0.169,0.186,0.188,0.134,0.133,0.135,0.137,0.13,0.106,Govardhan
97.35,0.187,0.322,0.304,0.272,0.363,0.307,0.256,0.316,0.638,0.321,0.104,0.171,0.186,0.187,0.135,0.133,0.136,0.14,0.131,0.108,Govardhan
97.26,0.184,0.319,0.301,0.274,0.363,0.306,0.257,0.311,0.641,0.334,0.104,0.165,0.182,0.184,0.135,0.133,0.135,0.139,0.13,0.106,Govardhan
97.45,0.189,0.323,0.304,0.275,0.364,0.308,0.256,0.315,0.651,0.338,0.106,0.169,0.185,0.189,0.136,0.135,0.137,0.141,0.134,0.109,Govardhan
97.21,0.188,0.321,0.303,0.274,0.364,0.306,0.253,0.322,0.661,0.341,0.104,0.17,0.186,0.188,0.135,0.133,0.135,0.137,0.131,0.105,Govardhan
97.44,0.187,0.322,0.306,0.276,0.365,0.308,0.256,0.314,0.636,0.323,0.102,0.17,0.186,0.187,0.137,0.134,0.137,0.141,0.133,0.108,Govardhan
97.42,0.187,0.322,0.305,0.276,0.365,0.308,0.256,0.317,0.643,0.327,0.103,0.169,0.186,0.187,0.137,0.134,0.137,0.141,0.133,0.107,Govardhan
97.28,0.183,0.319,0.302,0.275,0.361,0.305,0.254,0.312,0.634,0.324,0.101,0.166,0.184,0.183,0.135,0.133,0.136,0.139,0.131,0.107,Govardhan
97.41,0.182,0.32,0.303,0.277,0.367,0.31,0.259,0.306,0.623,0.318,0.105,0.161,0.177,0.182,0.136,0.133,0.136,0.138,0.131,0.106,Govardhan
97.5,0.183,0.323,0.308,0.282,0.369,0.314,0.261,0.31,0.623,0.314,0.101,0.165,0.182,0.183,0.138,0.136,0.137,0.142,0.134,0.108,Govardhan
97.29,0.183,0.318,0.302,0.274,0.362,0.305,0.254,0.315,0.641,0.328,0.102,0.165,0.18,0.183,0.135,0.133,0.134,0.137,0.129,0.105,Govardhan
97.44,0.187,0.322,0.305,0.276,0.367,0.31,0.254,0.318,0.659,0.341,0.104,0.168,0.185,0.187,0.137,0.135,0.137,0.14,0.132,0.107,Govardhan
97.33,0.188,0.323,0.306,0.274,0.367,0.309,0.256,0.322,0.67,0.346,0.105,0.169,0.186,0.188,0.137,0.134,0.137,0.141,0.132,0.108,Govardhan
97.39,0.183,0.323,0.306,0.278,0.367,0.308,0.259,0.314,0.637,0.327,0.104,0.167,0.184,0.183,0.137,0.136,0.137,0.142,0.134,0.109,Govardhan
97.36,0.189,0.323,0.307,0.279,0.37,0.312,0.257,0.314,0.646,0.333,0.105,0.168,0.184,0.189,0.138,0.138,0.139,0.142,0.134,0.107,Govardhan
97.03,0.192,0.321,0.306,0.279,0.368,0.311,0.252,0.324,0.673,0.352,0.103,0.171,0.189,0.192,0.136,0.135,0.135,0.138,0.13,0.107,Govardhan
97.18,0.188,0.323,0.306,0.276,0.368,0.308,0.258,0.32,0.657,0.338,0.105,0.169,0.185,0.188,0.137,0.135,0.137,0.141,0.133,0.109,Govardhan
97.15,0.188,0.323,0.307,0.279,0.368,0.312,0.26,0.316,0.642,0.327,0.103,0.169,0.186,0.188,0.137,0.136,0.137,0.14,0.132,0.107,Govardhan
97.05,0.191,0.319,0.302,0.274,0.361,0.305,0.254,0.324,0.671,0.348,0.103,0.169,0.186,0.191,0.133,0.133,0.135,0.138,0.13,0.107,Govardhan
97.25,0.188,0.322,0.304,0.274,0.363,0.308,0.256,0.315,0.643,0.328,0.103,0.171,0.187,0.188,0.137,0.135,0.137,0.141,0.134,0.11,Govardhan
97.27,0.189,0.322,0.304,0.275,0.369,0.311,0.261,0.315,0.655,0.344,0.106,0.167,0.185,0.189,0.138,0.136,0.137,0.141,0.132,0.107,Govardhan
97.37,0.193,0.324,0.308,0.278,0.37,0.314,0.261,0.321,0.653,0.333,0.104,0.173,0.189,0.193,0.138,0.137,0.137,0.142,0.134,0.11,Govardhan
97.28,0.188,0.322,0.304,0.275,0.364,0.308,0.255,0.317,0.648,0.333,0.102,0.169,0.185,0.188,0.137,0.134,0.137,0.141,0.132,0.107,Govardhan
97.23,0.188,0.321,0.304,0.273,0.364,0.308,0.257,0.318,0.646,0.33,0.103,0.17,0.187,0.188,0.136,0.133,0.136,0.141,0.131,0.107,Govardhan
97.3,0.193,0.324,0.307,0.277,0.366,0.309,0.257,0.321,0.658,0.339,0.104,0.171,0.19,0.193,0.137,0.136,0.137,0.141,0.134,0.11,Govardhan
97.23,0.187,0.323,0.305,0.276,0.368,0.309,0.256,0.321,0.656,0.337,0.103,0.167,0.185,0.187,0.137,0.134,0.137,0.141,0.133,0.108,Govardhan
97.31,0.187,0.323,0.307,0.273,0.366,0.311,0.259,0.317,0.64,0.324,0.103,0.17,0.186,0.187,0.137,0.136,0.137,0.142,0.135,0.111,Govardhan
97.36,0.188,0.324,0.307,0.277,0.372,0.313,0.262,0.316,0.64,0.327,0.105,0.169,0.186,0.188,0.138,0.136,0.137,0.142,0.135,0.11,Govardhan
97.43,0.188,0.326,0.308,0.274,0.37,0.313,0.263,0.318,0.649,0.332,0.106,0.17,0.187,0.188,0.138,0.137,0.138,0.143,0.136,0.111,Govardhan
97.37,0.183,0.323,0.306,0.275,0.368,0.311,0.261,0.313,0.629,0.319,0.104,0.167,0.183,0.183,0.137,0.137,0.137,0.142,0.134,0.109,Govardhan
97.34,0.188,0.324,0.307,0.275,0.37,0.313,0.262,0.318,0.642,0.325,0.105,0.168,0.185,0.188,0.138,0.137,0.137,0.142,0.134,0.11,Govardhan
97.05,0.187,0.319,0.303,0.272,0.363,0.308,0.256,0.315,0.643,0.331,0.102,0.168,0.185,0.187,0.133,0.133,0.135,0.138,0.131,0.107,Govardhan
97.25,0.19,0.324,0.307,0.275,0.367,0.31,0.26,0.318,0.65,0.333,0.104,0.17,0.186,0.19,0.136,0.133,0.136,0.141,0.134,0.109,Govardhan
97.29,0.188,0.325,0.307,0.276,0.369,0.312,0.262,0.316,0.632,0.317,0.104,0.17,0.187,0.188,0.138,0.137,0.137,0.142,0.135,0.111,Govardhan
97.35,0.187,0.326,0.308,0.277,0.37,0.314,0.263,0.316,0.636,0.321,0.106,0.168,0.185,0.187,0.138,0.138,0.137,0.142,0.135,0.11,Govardhan
97.34,0.188,0.322,0.306,0.272,0.367,0.311,0.262,0.313,0.633,0.321,0.105,0.168,0.184,0.188,0.137,0.135,0.137,0.141,0.134,0.109,Govardhan
97.36,0.188,0.326,0.308,0.278,0.372,0.314,0.261,0.316,0.638,0.323,0.105,0.167,0.184,0.188,0.138,0.136,0.137,0.142,0.134,0.11,Govardhan
97.4,0.189,0.326,0.311,0.279,0.375,0.318,0.263,0.317,0.651,0.338,0.106,0.168,0.185,0.189,0.138,0.138,0.138,0.142,0.134,0.109,Govardhan
97.19,0.187,0.318,0.302,0.269,0.362,0.306,0.256,0.316,0.64,0.327,0.104,0.168,0.186,0.187,0.134,0.133,0.135,0.14,0.132,0.107,Govardhan
97.27,0.183,0.322,0.306,0.274,0.37,0.312,0.259,0.315,0.641,0.33,0.104,0.166,0.182,0.183,0.137,0.136,0.137,0.141,0.133,0.107,Govardhan
97.31,0.189,0.325,0.307,0.277,0.371,0.314,0.261,0.316,0.645,0.331,0.104,0.169,0.186,0.189,0.138,0.136,0.137,0.142,0.134,0.109,Govardhan
97.18,0.192,0.322,0.304,0.276,0.368,0.311,0.258,0.324,0.659,0.338,0.103,0.172,0.19,0.192,0.138,0.136,0.137,0.141,0.132,0.109,Govardhan
97.06,0.191,0.322,0.305,0.279,0.368,0.311,0.254,0.325,0.678,0.353,0.103,0.169,0.186,0.191,0.136,0.133,0.136,0.139,0.131,0.107,Govardhan
97.12,0.191,0.325,0.31,0.279,0.372,0.313,0.26,0.325,0.668,0.345,0.105,0.169,0.187,0.191,0.138,0.137,0.137,0.141,0.132,0.107,Govardhan
97.1,0.192,0.326,0.309,0.279,0.373,0.315,0.261,0.323,0.648,0.326,0.104,0.169,0.187,0.192,0.138,0.138,0.137,0.141,0.134,0.109,Govardhan
97.11,0.189,0.326,0.309,0.282,0.375,0.317,0.267,0.317,0.633,0.318,0.103,0.167,0.184,0.189,0.138,0.138,0.137,0.142,0.134,0.109,Govardhan
97.31,0.188,0.326,0.308,0.275,0.371,0.314,0.26,0.32,0.643,0.325,0.104,0.17,0.187,0.188,0.138,0.138,0.138,0.142,0.135,0.111,Govardhan
97.21,0.187,0.322,0.305,0.272,0.367,0.31,0.257,0.316,0.644,0.33,0.103,0.168,0.185,0.187,0.137,0.134,0.136,0.141,0.132,0.108,Govardhan
97.27,0.188,0.325,0.307,0.276,0.37,0.314,0.261,0.316,0.646,0.331,0.105,0.17,0.186,0.188,0.138,0.136,0.137,0.141,0.134,0.109,Govardhan
97.34,0.187,0.326,0.307,0.277,0.37,0.312,0.26,0.317,0.64,0.325,0.105,0.171,0.185,0.187,0.137,0.137,0.138,0.142,0.135,0.111,Govardhan
97.44,0.188,0.326,0.308,0.275,0.372,0.313,0.261,0.317,0.646,0.331,0.107,0.171,0.187,0.188,0.138,0.138,0.138,0.143,0.135,0.11,Govardhan
97.51,0.187,0.327,0.309,0.278,0.373,0.316,0.263,0.319,0.649,0.332,0.106,0.171,0.188,0.187,0.138,0.138,0.141,0.144,0.137,0.113,Govardhan
97.32,0.187,0.322,0.306,0.273,0.367,0.311,0.258,0.318,0.636,0.322,0.105,0.171,0.187,0.187,0.137,0.135,0.137,0.141,0.135,0.11,Govardhan
97.27,0.188,0.323,0.307,0.276,0.368,0.312,0.259,0.318,0.639,0.324,0.103,0.17,0.187,0.188,0.137,0.135,0.137,0.141,0.134,0.11,Govardhan
97.18,0.189,0.324,0.306,0.277,0.37,0.314,0.26,0.319,0.644,0.328,0.104,0.171,0.187,0.189,0.138,0.136,0.137,0.141,0.133,0.108,Govardhan
97.26,0.194,0.327,0.31,0.278,0.374,0.315,0.264,0.323,0.653,0.332,0.106,0.173,0.191,0.194,0.138,0.138,0.137,0.142,0.134,0.11,Govardhan
97.15,0.191,0.322,0.305,0.274,0.367,0.309,0.256,0.326,0.662,0.335,0.102,0.172,0.188,0.191,0.136,0.134,0.136,0.14,0.132,0.108,Govardhan
97.28,0.192,0.326,0.308,0.278,0.373,0.316,0.264,0.321,0.652,0.328,0.104,0.174,0.189,0.192,0.138,0.138,0.138,0.142,0.135,0.111,Govardhan
97.41,0.193,0.327,0.311,0.279,0.373,0.315,0.264,0.324,0.652,0.331,0.105,0.174,0.191,0.193,0.138,0.138,0.14,0.144,0.137,0.113,Govardhan
97.26,0.19,0.324,0.308,0.277,0.371,0.313,0.26,0.323,0.658,0.336,0.103,0.172,0.188,0.19,0.138,0.137,0.137,0.141,0.135,0.111,Govardhan
97.28,0.194,0.324,0.305,0.274,0.367,0.309,0.259,0.321,0.643,0.325,0.104,0.172,0.189,0.194,0.137,0.135,0.137,0.141,0.134,0.11,Govardhan
97.21,0.194,0.323,0.308,0.277,0.369,0.313,0.261,0.326,0.663,0.338,0.104,0.175,0.192,0.194,0.138,0.136,0.137,0.141,0.134,0.11,Govardhan
97.22,0.187,0.323,0.306,0.276,0.371,0.312,0.259,0.321,0.648,0.33,0.103,0.169,0.186,0.187,0.137,0.135,0.137,0.141,0.134,0.109,Govardhan
97.25,0.188,0.323,0.306,0.274,0.367,0.311,0.262,0.317,0.64,0.327,0.104,0.167,0.185,0.188,0.137,0.135,0.137,0.141,0.133,0.107,Govardhan
97.19,0.189,0.322,0.304,0.273,0.366,0.309,0.257,0.321,0.659,0.34,0.104,0.169,0.185,0.189,0.136,0.133,0.136,0.139,0.131,0.107,Govardhan
97.28,0.187,0.323,0.307,0.276,0.37,0.312,0.262,0.321,0.656,0.336,0.105,0.17,0.185,0.187,0.137,0.137,0.137,0.141,0.135,0.109,Govardhan
97.44,0.187,0.324,0.308,0.274,0.372,0.313,0.263,0.318,0.636,0.319,0.106,0.17,0.186,0.187,0.138,0.138,0.138,0.142,0.135,0.11,Govardhan
97.06,0.193,0.319,0.303,0.273,0.365,0.308,0.256,0.325,0.658,0.336,0.104,0.172,0.189,0.193,0.135,0.133,0.135,0.139,0.131,0.107,Govardhan
97.27,0.187,0.321,0.303,0.271,0.366,0.308,0.26,0.317,0.641,0.329,0.104,0.167,0.184,0.187,0.137,0.134,0.136,0.141,0.132,0.108,Govardhan
97.26,0.188,0.322,0.306,0.273,0.368,0.312,0.26,0.316,0.639,0.326,0.104,0.169,0.186,0.188,0.137,0.135,0.137,0.141,0.134,0.11,Govardhan
97.28,0.189,0.322,0.307,0.274,0.368,0.312,0.261,0.321,0.651,0.334,0.105,0.172,0.187,0.189,0.138,0.135,0.137,0.141,0.135,0.109,Govardhan
97.28,0.187,0.322,0.307,0.273,0.368,0.312,0.258,0.317,0.645,0.33,0.104,0.167,0.182,0.187,0.137,0.136,0.137,0.141,0.134,0.109,Govardhan
97.28,0.188,0.323,0.307,0.273,0.371,0.313,0.261,0.315,0.64,0.327,0.105,0.169,0.184,0.188,0.138,0.136,0.137,0.141,0.135,0.109,Govardhan
97.33,0.188,0.326,0.309,0.279,0.374,0.316,0.263,0.319,0.649,0.333,0.108,0.17,0.185,0.188,0.138,0.138,0.137,0.141,0.135,0.11,Govardhan
97.39,0.187,0.326,0.307,0.274,0.372,0.314,0.262,0.318,0.644,0.327,0.108,0.169,0.186,0.187,0.137,0.137,0.137,0.141,0.135,0.109,Govardhan
97.29,0.188,0.324,0.307,0.273,0.37,0.312,0.261,0.321,0.654,0.334,0.105,0.171,0.187,0.188,0.137,0.135,0.137,0.141,0.134,0.109,Govardhan
97.02,0.188,0.319,0.303,0.273,0.364,0.308,0.255,0.319,0.642,0.326,0.103,0.17,0.187,0.188,0.133,0.133,0.133,0.137,0.13,0.107,Govardhan
97.17,0.188,0.324,0.309,0.276,0.37,0.314,0.257,0.319,0.642,0.324,0.103,0.17,0.186,0.188,0.138,0.136,0.137,0.141,0.134,0.108,Govardhan
97.2,0.188,0.328,0.31,0.278,0.373,0.316,0.263,0.32,0.639,0.321,0.104,0.17,0.186,0.188,0.138,0.136,0.137,0.142,0.134,0.111,Govardhan
97.29,0.187,0.325,0.307,0.274,0.371,0.313,0.261,0.318,0.646,0.33,0.105,0.171,0.186,0.187,0.138,0.137,0.137,0.142,0.135,0.11,Govardhan
97.31,0.188,0.324,0.306,0.272,0.369,0.312,0.261,0.317,0.639,0.323,0.105,0.171,0.187,0.188,0.137,0.135,0.137,0.141,0.135,0.11,Govardhan
97.38,0.187,0.326,0.308,0.276,0.372,0.314,0.263,0.318,0.642,0.325,0.105,0.172,0.188,0.187,0.138,0.137,0.139,0.143,0.136,0.112,Govardhan
97.42,0.185,0.321,0.303,0.276,0.366,0.31,0.259,0.312,0.627,0.317,0.103,0.17,0.184,0.185,0.136,0.134,0.136,0.14,0.132,0.108,Govardhan
97.35,0.188,0.321,0.303,0.278,0.365,0.309,0.257,0.317,0.638,0.325,0.104,0.172,0.189,0.188,0.135,0.134,0.135,0.141,0.132,0.108,Govardhan
97.07,0.186,0.314,0.298,0.273,0.361,0.306,0.254,0.314,0.63,0.317,0.101,0.17,0.187,0.186,0.132,0.132,0.134,0.136,0.129,0.105,Govardhan
97.19,0.188,0.317,0.301,0.273,0.365,0.308,0.254,0.316,0.639,0.323,0.102,0.172,0.188,0.188,0.134,0.134,0.135,0.138,0.131,0.106,Govardhan
97.34,0.188,0.315,0.298,0.27,0.361,0.306,0.256,0.312,0.631,0.321,0.099,0.172,0.189,0.188,0.135,0.134,0.135,0.14,0.132,0.107,Govardhan
97.4,0.189,0.318,0.3,0.272,0.363,0.306,0.256,0.316,0.631,0.317,0.1,0.173,0.189,0.189,0.133,0.133,0.135,0.138,0.131,0.107,Govardhan
97.2,0.189,0.317,0.302,0.272,0.363,0.306,0.254,0.317,0.638,0.322,0.101,0.174,0.189,0.189,0.134,0.133,0.135,0.138,0.131,0.107,Govardhan
97.13,0.188,0.318,0.303,0.273,0.362,0.307,0.253,0.321,0.651,0.331,0.099,0.17,0.187,0.188,0.132,0.133,0.134,0.138,0.131,0.106,Govardhan
97.12,0.189,0.314,0.298,0.27,0.36,0.306,0.252,0.312,0.635,0.327,0.099,0.169,0.186,0.189,0.132,0.133,0.134,0.136,0.13,0.106,Govardhan
97.35,0.188,0.32,0.303,0.274,0.364,0.308,0.257,0.313,0.636,0.324,0.101,0.17,0.187,0.188,0.136,0.134,0.136,0.14,0.132,0.107,Govardhan
97.36,0.188,0.322,0.304,0.274,0.366,0.31,0.259,0.318,0.638,0.323,0.102,0.172,0.189,0.188,0.137,0.134,0.136,0.141,0.132,0.107,Govardhan
